HeadwayId,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference,ID,AvgAct,AvgSch,AvgStartTime,AbsDifference,AvgDifference
20,3/1/2014,621,22,Outbound,4231917,4231778,Columbus Ave @ Washington St,15,16,-1,,,,,1,
20,3/1/2014,624,22,Outbound,4231917,4231778,Seaver St opp Humboldt Ave,16,16,0,,,,,0,
20,3/1/2014,625,22,Outbound,4231917,4231778,Seaver St opp Maple St,16,16,0,,,,,0,
20,3/1/2014,631,22,Outbound,4231917,4231778,Blue Hill Ave @ Angell St,16,16,0,,,,,0,
20,3/1/2014,637,22,Outbound,4231917,4231778,Talbot Ave @ Lithgow St,18,16,2,,,,,2,
20,3/1/2014,639,22,Outbound,4231917,4231778,Ashmont Station,16,16,0,,,,,0,
21,3/1/2014,629,22,Outbound,4231778,4231847,Ruggles Station - Lane 1,10,16,-6,,,,,6,
21,3/1/2014,631,22,Outbound,4231778,4231847,Tremont St @ Roxbury Crossing Station,11,16,-5,,,,,5,
21,3/1/2014,634,22,Outbound,4231778,4231847,Jackson Sq Station @ Orange Line,13,16,-3,,,,,3,
21,3/1/2014,637,22,Outbound,4231778,4231847,Columbus Ave @ Washington St,12,16,-4,,,,,4,
21,3/1/2014,640,22,Outbound,4231778,4231847,Seaver St opp Humboldt Ave,11,16,-5,,,,,5,
21,3/1/2014,641,22,Outbound,4231778,4231847,Seaver St opp Maple St,10,16,-6,,,,,6,
21,3/1/2014,647,22,Outbound,4231778,4231847,Blue Hill Ave @ Angell St,10,16,-6,,,,,6,
21,3/1/2014,653,22,Outbound,4231778,4231847,Talbot Ave @ Lithgow St,9,16,-7,,,,,7,
21,3/1/2014,655,22,Outbound,4231778,4231847,Ashmont Station,9,16,-7,,,,,7,
22,3/1/2014,645,22,Outbound,4231847,4231873,Ruggles Station - Lane 1,17,16,1,,,,,1,
22,3/1/2014,647,22,Outbound,4231847,4231873,Tremont St @ Roxbury Crossing Station,17,16,1,,,,,1,
22,3/1/2014,650,22,Outbound,4231847,4231873,Jackson Sq Station @ Orange Line,16,16,0,,,,,0,
22,3/1/2014,653,22,Outbound,4231847,4231873,Columbus Ave @ Washington St,17,16,1,,,,,1,
22,3/1/2014,656,22,Outbound,4231847,4231873,Seaver St opp Humboldt Ave,18,16,2,,,,,2,
22,3/1/2014,657,22,Outbound,4231847,4231873,Seaver St opp Maple St,21,16,5,,,,,5,
22,3/1/2014,663,22,Outbound,4231847,4231873,Blue Hill Ave @ Angell St,22,16,6,,,,,6,
22,3/1/2014,669,22,Outbound,4231847,4231873,Talbot Ave @ Lithgow St,23,16,7,,,,,7,
22,3/1/2014,671,22,Outbound,4231847,4231873,Ashmont Station,23,16,7,,,,,7,
23,3/1/2014,661,22,Outbound,4231873,4231919,Ruggles Station - Lane 1,18,14,4,,,,,4,
23,3/1/2014,663,22,Outbound,4231873,4231919,Tremont St @ Roxbury Crossing Station,17,14,3,,,,,3,
23,3/1/2014,666,22,Outbound,4231873,4231919,Jackson Sq Station @ Orange Line,17,14,3,,,,,3,
23,3/1/2014,669,22,Outbound,4231873,4231919,Columbus Ave @ Washington St,17,14,3,,,,,3,
23,3/1/2014,672,22,Outbound,4231873,4231919,Seaver St opp Humboldt Ave,16,14,2,,,,,2,
23,3/1/2014,673,22,Outbound,4231873,4231919,Seaver St opp Maple St,15,14,1,,,,,1,
23,3/1/2014,679,22,Outbound,4231873,4231919,Blue Hill Ave @ Angell St,15,14,1,,,,,1,
23,3/1/2014,685,22,Outbound,4231873,4231919,Talbot Ave @ Lithgow St,16,14,2,,,,,2,
23,3/1/2014,687,22,Outbound,4231873,4231919,Ashmont Station,17,15,2,,,,,2,
24,3/1/2014,675,22,Outbound,4231919,4231780,Ruggles Station - Lane 1,22,14,8,,,,,8,
24,3/1/2014,677,22,Outbound,4231919,4231780,Tremont St @ Roxbury Crossing Station,22,14,8,,,,,8,
24,3/1/2014,680,22,Outbound,4231919,4231780,Jackson Sq Station @ Orange Line,22,15,7,,,,,7,
24,3/1/2014,683,22,Outbound,4231919,4231780,Columbus Ave @ Washington St,19,16,3,,,,,3,
24,3/1/2014,686,22,Outbound,4231919,4231780,Seaver St opp Humboldt Ave,19,16,3,,,,,3,
24,3/1/2014,687,22,Outbound,4231919,4231780,Seaver St opp Maple St,18,16,2,,,,,2,
24,3/1/2014,693,22,Outbound,4231919,4231780,Blue Hill Ave @ Angell St,18,16,2,,,,,2,
24,3/1/2014,699,22,Outbound,4231919,4231780,Talbot Ave @ Lithgow St,16,16,0,,,,,0,
24,3/1/2014,702,22,Outbound,4231919,4231780,Ashmont Station,16,16,0,,,,,0,
25,3/1/2014,689,22,Outbound,4231780,4231814,Ruggles Station - Lane 1,-3,12,-15,,,,,15,
25,3/1/2014,691,22,Outbound,4231780,4231814,Tremont St @ Roxbury Crossing Station,-2,12,-14,,,,,14,
25,3/1/2014,695,22,Outbound,4231780,4231814,Jackson Sq Station @ Orange Line,-2,12,-14,,,,,14,
25,3/1/2014,699,22,Outbound,4231780,4231814,Columbus Ave @ Washington St,1,12,-11,,,,,11,
25,3/1/2014,702,22,Outbound,4231780,4231814,Seaver St opp Humboldt Ave,2,12,-10,,,,,10,
25,3/1/2014,703,22,Outbound,4231780,4231814,Seaver St opp Maple St,3,12,-9,,,,,9,
25,3/1/2014,709,22,Outbound,4231780,4231814,Blue Hill Ave @ Angell St,2,12,-10,,,,,10,
25,3/1/2014,715,22,Outbound,4231780,4231814,Talbot Ave @ Lithgow St,3,12,-9,,,,,9,
25,3/1/2014,718,22,Outbound,4231780,4231814,Ashmont Station,4,12,-8,,,,,8,
26,3/1/2014,701,22,Outbound,4231814,4231849,Ruggles Station - Lane 1,14,11,3,,,,,3,
26,3/1/2014,703,22,Outbound,4231814,4231849,Tremont St @ Roxbury Crossing Station,13,11,2,,,,,2,
26,3/1/2014,707,22,Outbound,4231814,4231849,Jackson Sq Station @ Orange Line,13,11,2,,,,,2,
26,3/1/2014,711,22,Outbound,4231814,4231849,Columbus Ave @ Washington St,13,11,2,,,,,2,
26,3/1/2014,714,22,Outbound,4231814,4231849,Seaver St opp Humboldt Ave,12,11,1,,,,,1,
26,3/1/2014,715,22,Outbound,4231814,4231849,Seaver St opp Maple St,11,11,0,,,,,0,
26,3/1/2014,721,22,Outbound,4231814,4231849,Blue Hill Ave @ Angell St,10,11,-1,,,,,1,
26,3/1/2014,727,22,Outbound,4231814,4231849,Talbot Ave @ Lithgow St,11,11,0,,,,,0,
26,3/1/2014,730,22,Outbound,4231814,4231849,Ashmont Station,22,11,11,,,,,11,
27,3/1/2014,712,22,Outbound,4231849,4231966,Ruggles Station - Lane 1,6,11,-5,,,,,5,
27,3/1/2014,714,22,Outbound,4231849,4231966,Tremont St @ Roxbury Crossing Station,8,11,-3,,,,,3,
27,3/1/2014,718,22,Outbound,4231849,4231966,Jackson Sq Station @ Orange Line,7,11,-4,,,,,4,
27,3/1/2014,722,22,Outbound,4231849,4231966,Columbus Ave @ Washington St,7,11,-4,,,,,4,
27,3/1/2014,725,22,Outbound,4231849,4231966,Seaver St opp Humboldt Ave,9,11,-2,,,,,2,
