stop_name,time,headway
Warren St @ Dabney Pl,815,-10
Warren St @ Townsend St,820,-10
Warren St @ Crawford St,822,-12
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,826,-13
Blue Hill Ave @ Angell St,830,-13
Blue Hill Ave @ Morton St,835,-14
Blue Hill Ave @ Wellington Hill St,837,-13
Mattapan Station - South Busway,845,-16
Ruggles Station - Lane 1,816,-8
Malcolm X Blvd @ King St,819,3
Dudley Station,824,2
Warren St @ Dabney Pl,826,2
Warren St @ Townsend St,831,2
Warren St @ Crawford St,833,3
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,837,6
Blue Hill Ave @ Angell St,841,6
Blue Hill Ave @ Morton St,846,6
Blue Hill Ave @ Wellington Hill St,848,7
Mattapan Station - South Busway,856,10
Ruggles Station - Lane 1,827,0
Malcolm X Blvd @ King St,830,-1
Dudley Station,835,0
Warren St @ Dabney Pl,837,-1
Warren St @ Townsend St,842,0
Warren St @ Crawford St,844,0
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,848,-3
Blue Hill Ave @ Angell St,852,-3
Blue Hill Ave @ Morton St,857,-3
Blue Hill Ave @ Wellington Hill St,859,-5
Mattapan Station - South Busway,867,-10
Ruggles Station - Lane 1,838,9
Malcolm X Blvd @ King St,841,-2
Dudley Station,846,-2
Warren St @ Dabney Pl,848,1
Warren St @ Townsend St,853,-1
Warren St @ Crawford St,855,0
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,859,1
Blue Hill Ave @ Angell St,863,1
Blue Hill Ave @ Morton St,868,1
Blue Hill Ave @ Wellington Hill St,870,2
Mattapan Station - South Busway,878,5
Ruggles Station - Lane 1,849,-7
Malcolm X Blvd @ King St,852,-1
Dudley Station,857,-1
Warren St @ Dabney Pl,859,-2
Warren St @ Townsend St,864,-2
Warren St @ Crawford St,866,-2
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,870,-3
Blue Hill Ave @ Angell St,874,-3
Blue Hill Ave @ Morton St,879,0
Blue Hill Ave @ Wellington Hill St,881,1
Mattapan Station - South Busway,889,-1
Ruggles Station - Lane 1,860,11
Malcolm X Blvd @ King St,863,6
Dudley Station,868,6
Warren St @ Dabney Pl,870,6
Warren St @ Townsend St,875,9
Warren St @ Crawford St,877,8
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,881,9
Blue Hill Ave @ Angell St,885,9
Blue Hill Ave @ Morton St,890,7
Blue Hill Ave @ Wellington Hill St,892,5
Mattapan Station - South Busway,900,7
Ruggles Station - Lane 1,871,-1
Malcolm X Blvd @ King St,874,-1
Dudley Station,879,-2
Warren St @ Dabney Pl,881,-5
Warren St @ Townsend St,886,-9
Warren St @ Crawford St,888,-9
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,892,-9
Blue Hill Ave @ Angell St,896,-9
Blue Hill Ave @ Morton St,901,-9
Blue Hill Ave @ Wellington Hill St,903,-9
Mattapan Station - South Busway,911,-9
Ruggles Station - Lane 1,882,-18
Malcolm X Blvd @ King St,885,-3
Dudley Station,890,-2
Warren St @ Dabney Pl,892,0
Warren St @ Townsend St,897,2
Warren St @ Crawford St,899,2
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,903,2
Blue Hill Ave @ Angell St,907,2
Blue Hill Ave @ Morton St,912,1
Blue Hill Ave @ Wellington Hill St,914,1
Mattapan Station - South Busway,922,1
Ruggles Station - Lane 1,893,7
Malcolm X Blvd @ King St,896,-2
Dudley Station,901,-2
Warren St @ Dabney Pl,903,-2
Warren St @ Townsend St,908,-2
Warren St @ Crawford St,910,-2
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,914,-1
Blue Hill Ave @ Angell St,918,-1
Blue Hill Ave @ Morton St,923,1
Blue Hill Ave @ Wellington Hill St,925,3
Mattapan Station - South Busway,933,3
Ruggles Station - Lane 1,904,17
Malcolm X Blvd @ King St,907,12
Dudley Station,912,11
Warren St @ Dabney Pl,914,13
Warren St @ Townsend St,919,15
Warren St @ Crawford St,921,13
